date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
16/07/17 05:00;HU0101;Eurdep;air;47.92;19.13;211.9;Hungary;Nógrád;Rétsági;Rétság;Retsag;10.1;10.3
16/07/17 05:00;HU0104;Eurdep;air;48.22;20.27;0.0;Hungary;0;0;0;Ozd;9.9;11.8
16/07/17 05:00;HU0109;Eurdep;air;46.35;18.71;92.6;Hungary;Tolna;Szekszárdi;Szekszárd;Szekszard;10.1;10.3
16/07/17 05:00;HU0118;Eurdep;air;47.11;17.93;232.8;Hungary;Veszprém;Veszprémi;Veszprém;Veszprem;10.5;10.8
16/07/17 05:00;HU0120;Eurdep;air;47.51;19.12;;Hungary;Budapest;Budapest;Budapest;Budapest okf;8.4;8.7
16/07/17 05:00;HU0124;Eurdep;air;48.1;19.81;280.2;Hungary;Nógrád;Salgótarjáni;Salgótarján;Salgotarjan;10.6;11.0
16/07/17 05:00;HU0130;Eurdep;air;46.94;20.84;81.5;Hungary;Békés;Szarvasi;Gyomaendrőd;Gyomaendrod;9.3;10.2
16/07/17 05:00;HU0131;Eurdep;air;46.72;18.66;117.7;Hungary;Fejér;Sárbogárdi;Vajta;Vajta;8.8;9.0
16/07/17 05:00;HU0132;Eurdep;air;47.44;19.25;139.7;Hungary;Budapest;Budapest;Budapest;Ferihegy;8.4;8.7
16/07/17 05:00;HU0133;Eurdep;air;47.73;18.2;108.0;Hungary;Komárom-Esztergom;Komáromi;Komárom;Komarom;10.1;10.3
16/07/17 05:00;HU0134;Eurdep;air;47.23;16.61;212.7;Hungary;Vas;Szombathelyi;Szombathely;Szombathely;10.6;10.8
16/07/17 05:00;HU0135;Eurdep;air;46.8;19.01;93.1;Hungary;Bács-Kiskun;Kalocsai;Solt;Solt;8.8;8.9
16/07/17 05:00;HU0136;Eurdep;air;46.85;16.84;150.4;Hungary;Zala;Zalaegerszegi;Zalaegerszeg;Zalaegerszeg;10.2;10.5
16/07/17 05:00;HU0137;Eurdep;air;47.22;20.76;83.8;Hungary;Jász-Nagykun-Szolnok;Karcagi;Kisújszállás;Kisujszallas;10.9;11.7
16/07/17 05:00;HU0138;Eurdep;air;47.21;21.54;92.4;Hungary;Hajdú-Bihar;Berettyóújfalui;Berettyóújfalu;Berettyoujfalu;11.8;12.5
16/07/17 05:00;HU0139;Eurdep;air;47.46;21.41;98.2;Hungary;Hajdú-Bihar;Hajdúszoboszlói;Hajdúszoboszló;Hajduszoboszlo;12.0;12.5
16/07/17 05:00;HU0140;Eurdep;air;46.65;21.28;86.0;Hungary;Békés;Gyulai;Gyula;Gyula;13.6;13.8
16/07/17 05:00;HU0141;Eurdep;air;46.4;20.9;94.3;Hungary;Békés;Mezőkovácsházai;Mezőkovácsháza;Mezokovacshaza;11.4;13.0
16/07/17 05:00;HU0142;Eurdep;air;46.71;19.86;95.0;Hungary;Bács-Kiskun;Kiskunfélegyházai;Kiskunfélegyháza;Kiskunfelegyhaza;9.3;9.8
