date;id_station;id_network;type;latitude;longitude;altitude;country;area_adm_1;area_adm_2;area_adm_3;name;value;value_max
19/06/17 16:00;MK0001;Eurdep;air;42.0;21.43;0.0;Macedonia;0;0;0;Skopje;9.9;10
19/06/17 16:00;MK0002;Eurdep;air;41.72;21.78;157.8;Macedonia;Municipality of Veles;;;Veles;16.8;17
19/06/17 16:00;MK0003;Eurdep;air;41.48;22.09;0.0;Macedonia;0;0.0;0;Negotino;13.8;14
19/06/17 16:00;MK0004;Eurdep;air;41.14;22.5;64.5;Macedonia;Municipality of Gevgelija;;Gevgelija;Gevgelija;11.1;11
19/06/17 16:00;MK0005;Eurdep;air;41.44;22.64;230.0;Macedonia;Strumitsa;;Municipalidad de Strumica;Strumica;15.1;15
19/06/17 16:00;MK0006;Eurdep;air;41.7;22.86;861.8;Macedonia;Municipality of Berovo;;Berovo;Berovo;13.9;14
19/06/17 16:00;MK0007;Eurdep;air;42.2;22.33;635.3;Macedonia;Municipality of Kriva Palanka;;Municipalidad de Kriva Palanka;Kriva Palanka;13.1;13
19/06/17 16:00;MK0008;Eurdep;air;41.53;20.53;773.7;Macedonia;Municipality of Debar;;Debar;Debar;12.7;12
19/06/17 16:00;MK0009;Eurdep;air;41.51;20.96;613.1;Macedonia;Municipality of Kichevo;;Municipalidad de Kičevo;Kicevo;13.0;14
19/06/17 16:00;MK0010;Eurdep;air;41.37;21.25;1215.8;Macedonia;Municipality of Krushevo;;Krushevo;Krusevo;18.3;18
19/06/17 16:00;MK0011;Eurdep;air;41.14;20.82;720.2;Macedonia;Ohrid;;Ohrid;Ohrid;15.6;15
19/06/17 16:00;MK0012;Eurdep;air;41.03;21.34;607.4;Macedonia;Municipality of Bitola;;Bitola;Bitola;19.8;20
